,site,n,d18O,d2H,a,b,theta,area,intersect_area,perc overlap,koppen,clim
68,Ehl_83,84,-14.079539030000396,-104.91384758438673,5.578913823189282,95.46353420125277,-0.07171364511197674,1670.47065502,1377.98051707,0.824905551571,Dfb,D
69,Ehl_83,96,-13.644720285620782,-103.8583675201489,15.083492552533077,497.8451956243148,0.1430655081510024,23553.1050971,4886.67924852,0.207474947714,Dfb,D
70,Ehl_83,96,-13.22549494077567,-98.03566420704198,296.48423391915753,59.76329478621769,0.5623755971788446,55576.1044185,4538.02991537,0.0816543362089,Dfb,D
71,Ehl_83,96,-14.078675123164139,-104.29286468170348,132.38889471864596,77.61697269200009,0.7466185023212926,32229.9945258,5444.81778297,0.168936354569,Dfb,D
72,Ehl_83,96,-13.984106628826394,-103.26143592114289,53.854754235806574,1075.9502232195248,-0.20471437409895904,181747.396728,5546.91541644,0.0305199167433,Dfb,D
73,Ehl_83,96,-12.335663651577722,-92.01276674207678,11.53813071009134,52.265787932779695,0.05433431079432094,1891.49393488,1891.49393488,1.0,Dfb,D
74,Ehl_83,96,-13.292205517228698,-100.5943537273122,23.202668000078575,91.81665545058523,-0.4171349418234004,6682.07675323,2925.73898531,0.437848754715,Dfb,D
75,Ehl_83,96,-13.540666734732461,-100.8801027854708,7.646895171291164,210.12666659395555,-0.029990264853957314,5039.86142081,2237.79511409,0.444019175776,Dfb,D
76,Ehl_83,96,-13.550294633024032,-100.11383143057607,21.585996567999466,388.1597115233624,0.2406768286200673,26280.5611093,5502.26909906,0.20936650006,Dfb,D
77,Ehl_83,96,-13.841556339978485,-103.22675642771897,10.946759402406236,61.2936007563865,-0.002781249027529912,2104.5184256,2104.5184256,1.0,Dfb,D
78,Ehl_83,96,-12.918235359479715,-96.52911923995435,6.1600876490897605,121.45313584249608,-0.0011851686190659072,2346.64724863,1815.58261806,0.773692176835,Dfb,D
79,Ehl_83,108,-13.583003324884066,-100.9984378342035,16.75939173030122,586.3072698889583,-0.13320135159619145,30820.2028438,3787.82535396,0.12290072759,Dfb,D
80,Ehl_83,108,-12.564388345790887,-93.71271088353727,7.864304856728927,111.25454483311637,-0.024956645816042893,2744.28884731,2165.64646121,0.789146690347,Dfb,D
81,Ehl_83,108,-13.660145990595177,-101.79913027201042,6.175211289860349,108.08881445700167,0.0190761830555399,2093.55547244,1827.7115147,0.873017953793,Dfb,D
82,Ehl_83,108,-13.721327292174303,-102.58678062226365,9.468740247436825,123.714278071889,-0.03235613987528918,3674.21046253,2603.80199175,0.708669799484,Dfb,D
83,Ehl_83,108,-13.388183973561448,-99.2120745478726,6.201259609353963,121.92565491842483,0.03159420037704112,2371.52127989,1923.40642809,0.811043292926,Dfb,D
84,Ehl_83,108,-13.720146149051015,-101.80610123456503,7.021616122376662,74.94632552655126,0.09437418427174059,1650.59186153,1650.59186153,1.0,Dfb,D
85,Ehl_83,108,-13.358257622189239,-100.33143195526682,7.360764128958259,327.4929268047668,-0.050168682959507375,7560.95394075,2093.69651662,0.276909042567,Dfb,D
86,Ehl_83,108,-13.424893119533028,-99.77001750030378,14.352801909298147,232.05521901914742,-0.17293565380353115,10446.7206446,3001.85259078,0.287348795178,Dfb,D
87,Ehl_83,108,-12.687833932624523,-94.36664331659182,12.925727101966881,997.1313988193207,-0.05573457966722312,40425.8796263,3535.70216798,0.0874613539809,Dfb,D
88,Ehl_83,108,-12.422937838098289,-92.91867614902529,20.82717996267078,37.725763624562,0.06984326342238002,2464.45262552,2353.15829495,0.954840142019,Dfb,D
89,Ehl_83,120,-13.854584460551212,-103.26915706317016,6.304159609349945,181.52858340431516,-0.03308087823902509,3589.4197121,1828.76622163,0.509487986446,Dfb,D
90,Ehl_83,120,-13.66108775791103,-101.90575235631626,7.105922321898809,130.76615369244303,-0.001150036832671199,2914.52414369,2113.40502254,0.725128672243,Dfb,D
91,Ehl_83,120,-13.210680505928105,-99.068125064896,9.710124182772526,81.73835969825655,-0.0282674109969226,2489.44492633,2392.7476921,0.961157110485,Dfb,D
92,Ehl_83,120,-12.671500088305594,-94.60410463104117,8.447228670246558,207.35685615492454,-0.08177851221716463,5493.95038468,2201.78331824,0.400765053208,Dfb,D
93,Ehl_83,120,-13.252823730130963,-99.17017417603475,11.335970343749528,147.50885521043506,-0.005364554299650395,5244.79841444,3312.13650965,0.631508829879,Dfb,D
94,Ehl_83,120,-13.527063988074776,-101.0781407164702,12.503001663184705,150.05843319269707,0.05321669253442552,5884.731273,3966.01736047,0.673950462048,Dfb,D
95,Ehl_83,120,-13.20821555495919,-98.44677656683477,9.501135876515663,279.59633043695146,-0.04672975660082941,8332.19048771,2683.60834276,0.32207717127,Dfb,D
96,Ehl_83,120,-12.75605644787182,-94.80934620280075,7.638260943312371,191.83592573526795,-0.059322051730882154,4595.9616399,2090.75850601,0.454912088008,Dfb,D
97,Ehl_83,120,-13.490933533948823,-99.7705707732728,14.08672885758566,367.3495518650938,-0.14471381591509172,16230.866617,3154.57187931,0.194356342994,Dfb,D
98,Ehl_83,120,-13.619382574789277,-101.54205816058318,5.532362381282533,194.42049194986896,0.0035091742022485277,3373.68454819,1737.41901314,0.514991543613,Dfb,D
99,SAfricaPrec_02,0,-2.714229363979183,-9.369956686173285,1.860514288852968,26.867588724546568,-0.14270913768191534,nan,nan,nan,Csb,C
100,SAfricaPrec_02,148,-2.737996907645028,-8.883068159573433,2.704318068420521,310.92950652441186,0.008169972903849935,2637.37587069,nan,1,Csb,C
101,SAfricaPrec_02,18,-2.4422687606384166,-6.996523988258219,10.907965142863969,38.8227291826029,-0.1630642380485177,1328.25669139,358.784440269,0.27011679489,Csb,C
102,SAfricaPrec_02,18,-2.2958137572040593,-6.315499881389624,9.78825831523921,39.58807181564807,0.09898200479095745,1215.40727714,396.943832892,0.326593266601,Csb,C
103,SAfricaPrec_02,24,-2.5318014849991726,-8.834812192661941,17.683446693674124,73.71788114885928,0.45564543056178125,4088.76209663,393.507704347,0.0962412816024,Csb,C
104,SAfricaPrec_02,24,-2.5754542224419965,-8.788583093134342,15.189602453727636,84.14848675674715,0.28456895657866,4009.07952071,504.292633696,0.125787635564,Csb,C
105,SAfricaPrec_02,24,-2.9043087933405096,-10.104446934077846,3.3916810887232147,20.770656460230907,0.0018205775663109253,220.961786844,196.880805045,0.891017437256,Csb,C
106,SAfricaPrec_02,24,-2.247286051391665,-7.715997249771425,2.8856479228393326,11.80509681557622,-0.030772525328425535,106.847737594,99.3566572489,0.929890136056,Csb,C
107,SAfricaPrec_02,24,-3.372116236394576,-8.987648752974012,12.042113681781302,125.85095612359581,0.19400928503557124,4753.47406542,621.956183524,0.130842448063,Csb,C
108,SAfricaPrec_02,24,-2.541499983096187,-8.115165547252829,5.042301735847083,29.258206259919422,0.060083973141708824,462.730834361,288.441971176,0.623347202644,Csb,C
109,SAfricaPrec_02,24,-2.667532516424302,-12.0061699608794,17.074594429908384,67.67132011763579,-0.38344266308485064,3624.15645614,410.657365819,0.113311158276,Csb,C
110,SAfricaPrec_02,24,-2.5809574644888564,-7.237819472648915,5.207478914444814,47.317146950846805,0.09186343892973912,772.855309894,394.651070522,0.510640304168,Csb,C
111,SAfricaPrec_02,24,-2.740419309986028,-8.339665341939119,4.385878762403624,18.69099861334627,0.14761444890782924,257.123214265,166.152061063,0.646196266402,Csb,C
112,SAfricaPrec_02,24,-2.770401070880875,-8.069321532208107,2.4140202287062604,33.0079843757404,-0.012271714658569032,249.926218068,249.926218068,1.0,Csb,C
113,SAfricaPrec_02,30,-2.7521164618351084,-7.855380962044951,7.15243504910633,142.45134859113313,-0.08837366481177902,3195.75000834,700.931710711,0.219332459949,Csb,C
114,SAfricaPrec_02,30,-3.146539662295535,-7.274040623428339,21.398518480588653,116.24532343386043,-0.5771310348697744,7802.09475431,401.966511709,0.051520331958,Csb,C
115,SAfricaPrec_02,30,-2.970998051052806,-10.479744898846548,2.8209624722198723,44.68968635656546,-0.029642753819796305,395.417855314,358.299492571,0.906128764184,Csb,C
116,SAfricaPrec_02,30,-2.581982902674136,-11.143870744882147,9.776432008240514,18.83885894512711,-0.7033485582799094,577.679451706,137.674372327,0.238323125256,Csb,C
117,SAfricaPrec_02,30,-3.0584708068765263,-9.299506464520118,7.619535004359795,73.03999716375543,-0.16936262642250186,1745.58710032,399.323069889,0.228761469316,Csb,C
118,SAfricaPrec_02,30,-3.3474178844876494,-4.615751834994446,9.079347207930194,553.3335924518468,0.034828832912017,15757.7352268,2542.95114698,0.161377958849,Csb,C
119,SAfricaPrec_02,30,-2.5492907738154114,-10.855908451470626,5.941768782456679,109.06889070442189,0.08658597369416034,2032.67869879,659.57497523,0.324485603959,Csb,C
120,SAfricaPrec_02,30,-2.697016631944363,-9.039692149108374,7.942224816860472,144.91965862826348,-0.12281811790098852,3610.11656968,600.463107157,0.166327899825,Csb,C
121,SAfricaPrec_02,30,10.837792414377613,-28.049994750083968,157.39910397315955,3183.260015957538,0.10240435263346621,1571543.35125,2637.37587069,0.00167820752039,Csb,C
122,SAfricaPrec_02,30,-3.5959036090849454,-8.691619009938126,12.79887492178163,68.04760804088419,-0.43546263231930354,2731.72206278,298.519818828,0.109278986649,Csb,C
123,SAfricaPrec_02,36,-2.438584657708178,-9.868212160276128,4.92182659394759,63.4560261364304,-0.09129905631664421,979.606172588,412.566133152,0.421155097524,Csb,C
124,SAfricaPrec_02,36,-2.815727762182417,-8.50358393756617,11.241304051327333,122.71769521129066,-0.16326815272337925,4326.88897071,623.602935238,0.144122703277,Csb,C
125,SAfricaPrec_02,36,-2.8348149472542405,-7.974985734289046,29.841676464685897,21.767934807414832,-0.553723974862284,2037.4755566,251.794217799,0.123581466773,Csb,C
126,SAfricaPrec_02,36,-2.840086651602257,-9.503313920263842,2.7518729631398595,62.2736578585861,0.08684653719844594,537.507230795,315.151744655,0.586320939699,Csb,C
127,SAfricaPrec_02,36,-2.878493521223613,-10.61420901716014,1.4798478577514584,10.317955917091664,0.014061107621699933,47.8920627407,47.8920627407,1.0,Csb,C
128,SAfricaPrec_02,36,-2.420504415335554,-7.958085611486434,1.8910705799745178,27.20701405080793,0.05811818454287254,161.376550253,161.376550253,1.0,Csb,C
129,SAfricaPrec_02,36,-3.0428157609657194,-10.87933038951278,2.1336213681279834,27.929155447210796,-0.0018586220836076628,186.9075969,186.9075969,1.0,Csb,C
130,SAfricaPrec_02,36,-3.0236188760403038,-11.050504798818087,8.208083186502623,90.24753672493661,-0.17792880706965233,2323.42661152,428.346913122,0.184359992693,Csb,C
131,SAfricaPrec_02,36,-2.9258945005148713,-7.530262014314065,29.93061453093862,108.59169028674361,0.5580827554451598,10194.4585915,561.222432665,0.0550517153638,Csb,C
132,SAfricaPrec_02,36,-3.0116493504802917,-11.080579901935343,6.263398383286788,63.61548178384314,0.10477151366406112,1249.75522876,481.706315,0.385440527803,Csb,C
133,SAfricaPrec_02,48,-2.685723308290586,-8.73777932088535,3.048576914483802,19.425486975268573,0.10029857547632594,185.746904412,161.586310075,0.86992733788,Csb,C
134,SAfricaPrec_02,48,-2.6966237008940572,-10.750344982461469,2.364424232496667,24.91870285312416,0.02950183162600581,184.800019158,184.800019158,1.0,Csb,C
