,site,m,mse,b,bse,inv_condnum,res_var,n,lat,lon,elev,proj,d2Hstd,d18Ostd,dexstd,Pstd,Tstd,Pstd_sub,Tstd_sub,d18O_min,d18O_max,dex_min,dex_max,koppen,clim
677,isomap_10057,7.306495319847505,0.10287177506531898,6.359405762178056,0.5045571144197138,0.0845662963769,4.20539458314,62.0,33.537,-80.43433,24.0,76.0,16.386985046378296,2.2476156762472135,2.4560404529817057,53.43739286759662,7.1705097210988935,56.06499630834284,7.270446155972434,-10.172152322110891,-1.8356781264380628,12.973775995889525,7.043456159912016,Cfa,C
678,isomap_10058,7.670295357980148,0.08665675581399566,0.7335129303990006,1.0781471147679509,0.0324409304746,11.9991888181,49.0,43.94283,-101.855,733.0,76.0,40.11519985849072,5.236265328100113,3.6347478016500663,33.611842942057265,10.448561008865543,36.47001432514127,8.387578992896149,-20.89273370684148,-4.130377799524849,8.480951007365405,0.26888964639668134,Dfa,D
679,isomap_10059,8.228693263932328,0.07538155037937767,6.920897073385254,0.7180026371674706,0.0365882544875,3.95599027361,52.0,44.353,-98.28783,398.0,76.0,28.995124448737375,3.527063986233843,2.008495359753374,37.48058189526949,11.66941838009859,41.745192304602845,8.657400084707183,-15.647028902636084,-3.9709852576051063,3.8125606790858653,5.559478365137139,Dfa,D
682,isomap_10061,8.094029008812463,0.09234119881951247,10.343181965520255,0.3637207377409281,0.0905356861666,1.55753131309,64.0,28.46667,-97.70417,82.0,76.0,13.01330302039068,1.6106649104537407,1.1686263804416854,56.70819035847015,6.1177897491379465,49.184081384692945,5.793222296954461,-6.4160991647748515,-0.5699685296905905,9.730564250236757,9.843079996222924,Cfa,C
683,isomap_10062,9.000225399665617,0.29890736162472553,9.710987141011014,1.0219462148834637,0.122793830246,15.0064792598,66.0,29.65683,-96.25567,54.0,76.0,14.811409435124142,1.6759590228903052,3.951655092158121,58.51665413446769,6.4812357652938015,55.37198774491226,6.235748915782098,-6.119070493075194,0.08417238048873017,5.058339086907129,6.1580649055660075,Cfa,C
686,isomap_10065,7.350228355328409,0.08437076481128182,1.0773986113849132,1.1134803159330031,0.0265220020246,12.7854383896,61.0,37.61783,-112.17033,2477.0,76.0,35.469328890040046,4.832487092501771,4.562168170194865,20.391844100566953,7.808138712562838,18.72968483800334,7.905047739808373,-21.239024457142857,-4.598067485261852,12.9009493663257,1.7152311895533188,Cfb,C
687,isomap_10066,8.257440537166126,0.05117271843618264,18.85206820566187,0.4643113334237221,0.0508774535185,3.24937913418,60.0,38.0397,-78.5419,172.0,76.0,36.252682635138214,4.392570145495304,2.0179775372638566,44.76888194365083,8.273450362179736,40.70819613830718,8.19652571564262,-18.952699899936544,-3.2459871376743465,13.952217970783142,15.575597060819836,Cfa,C
688,isomap_10067,7.911385219269949,0.08535622933081775,8.867255078844577,1.033455015976441,0.0297248391835,10.9098753494,63.0,44.52367,-72.868,399.0,76.0,36.1085507471816,4.57106933146963,3.0926989396001314,44.72396920856392,10.211863399989753,37.18990280233258,10.654034859759271,-22.112105313423505,-5.646797234566707,10.939198997997897,7.6433834172568,Dfb,D
689,isomap_10068,7.572735552524067,0.22552159972553193,2.3946829778942123,2.044533054300397,0.020798988441,12.9912572914,61.0,47.856,-123.92583,176.0,76.0,14.095881047366309,1.880340314584606,3.435934264195866,171.12432902397202,4.175330842764951,164.06697291511765,4.268391682043289,-12.727301792246646,-5.565466284707303,6.275304454837072,4.080856102862297,Cfb,C
690,isomap_10069,7.514479968424167,0.24651154975535458,-2.601780910294811,3.145710622872312,0.0143459151993,27.5499266778,60.0,46.75633,-117.18417,766.0,76.0,18.698681254621384,2.5179943741325324,5.013370179706938,26.768491576369172,7.875115638261336,22.672561664147047,7.739692000051699,-16.94208094645028,-7.899724509068953,7.984708365791311,2.052886730690486,Csb,C
692,isomap_10070,8.086737182898254,0.02757349692078188,14.19654597406772,0.3584116443186135,0.0312552358263,1.57040945453,62.0,46.05167,-89.65183,501.0,76.0,44.37887329620948,5.488714247911894,1.2566272162632304,39.38184840186025,10.989259756561346,37.947611897283565,10.256606406195466,-23.08222787373439,-4.573128764212231,12.039474496886703,13.845362583965755,Dfb,D
693,isomap_10071,8.02939615283414,0.05174168914328909,7.268806828106128,0.46807294131680927,0.0419700019357,2.57880325961,65.0,42.57417,-88.50033,288.0,76.0,29.240228572046288,3.643747737930929,1.4953149183611774,43.81573412083016,10.612929643229606,43.52898519370407,10.171648430949553,-16.075710013949198,-3.321126888995802,5.882539175960099,7.069086711480223,Dfa,D
694,isomap_10072,8.052509409586385,0.0662785682923403,16.73421681853707,0.6519627440120344,0.0344474513697,3.97250563276,65.0,37.98,-80.95,753.0,76.0,28.47391844991431,3.5393741397972165,1.8604243501572515,35.39582854909512,8.244029050441544,34.540100842255995,8.397546163378781,-16.638117819774518,-4.632421611560667,17.390533680787236,15.3374679079896,Cfa,C
701,isomap_1009100,7.607912896772646,0.10138669011730954,5.352661246443933,0.9084666800565107,0.0236607619248,7.04924181689,134.0,54.6789,13.4342,42.0,20.0,15.685242941713264,2.0712449631224135,2.6132395883529296,26.915045664899218,6.869340495439711,26.845386091828317,6.712309566055473,-13.144,-4.949999999999998,10.148000000000014,6.593999999999992,Cfb,C
704,isomap_1011300,7.931619129411083,0.12449483521809492,7.584653552723985,0.8859215597305531,0.0307684741168,7.88205330611,151.0,53.7122,7.1519,11.0,20.0,13.668044405355154,1.7367785792497108,2.633600102109098,31.634043257612053,5.723520548678089,30.76441181398322,5.531596055882385,-11.040000000000003,-2.8719999999999994,6.234000000000006,4.079999999999993,Cfb,C
707,isomap_1013100,7.93919352128411,0.09760217804145256,6.627488099549481,0.7107646539705282,0.0320383788067,15.8644353828,420.0,53.8713,8.7058,5.0,20.0,14.870497069998821,1.8983080717173892,3.7503134487291616,31.980597207038112,6.011517120003156,32.489147669741975,6.01492560988694,-14.004,-2.1739999999999995,6.446000000000007,-2.228000000000003,Cfb,C
713,isomap_1018400,7.388396683694618,0.10771325781108651,3.0233959288302468,0.9591306583444789,0.0300515749213,12.6727692754,132.0,54.0967,13.4056,2.0,20.0,18.986607620620223,2.5829146288249594,3.681937929839653,23.308056574415204,6.55471204112827,24.409521546707932,6.652365786012083,-14.331999999999999,-3.25,10.555999999999992,-0.20000000000000567,Cfb,C
722,isomap_1026100,7.512477776669969,0.07927335095959721,3.9419422461242015,0.6773684793236252,0.0344914989691,11.2807794043,199.0,52.8911,11.7294,21.0,20.0,20.38262312538744,2.7246078575780994,3.4171375609383943,22.25274654667202,6.594372956400696,23.67063374897748,6.574929043940062,-15.119999999999996,-2.9679999999999995,9.460000000000012,-1.296000000000003,Cfb,C
725,isomap_1028000,7.606124699231001,0.14100488133772487,4.527245072459992,1.2508111087229135,0.0273791439001,7.93581971341,61.0,53.5483,13.1931,81.0,20.0,17.72622503574117,2.3398521511461627,2.7692524146003685,24.21529558858456,6.68544620346591,20.141562407318037,6.210564917923644,-12.397999999999998,-4.858,7.744000000000002,6.403999999999994,Cfb,C
730,isomap_1032500,7.899308776582019,0.06999192154134123,7.050476056370546,0.561246014680607,0.0318056091936,11.3079002017,408.0,52.1042,8.7519,135.0,20.0,17.588192203466026,2.241640005195767,3.172458990624367,27.107353413544615,6.167016170437681,27.167119353572044,6.186445369550614,-15.463999999999999,-3.0180000000000007,7.841999999999987,3.044000000000003,Cfb,C
733,isomap_1034800,8.039623385471087,0.10305569344324364,4.8587249249952675,0.7748267970139052,0.0370806526059,25.9358881044,420.0,52.2914,10.4464,81.0,20.0,18.402906625688495,2.3233423245953735,4.793859935486824,23.370615334946862,6.396425803840103,23.68894683003858,6.403119266527254,-14.049999999999997,-2.1239999999999997,2.219999999999993,2.0440000000000014,Cfb,C
738,isomap_1038400,7.852365456417033,0.07659723112097988,4.476425083380457,0.6350879118875908,0.0340065870814,18.0993595178,419.0,52.4672,13.4019,48.0,20.0,19.8671613445134,2.5511584542753476,4.0211248424544666,23.45040581616101,7.065062125019693,24.37239163563374,7.068717253300401,-16.86,-2.8939999999999997,8.530000000000006,0.881999999999999,Cfb,C
741,isomap_1040600,7.880237533902307,0.07756482296687942,6.37683195815537,0.5760062285417518,0.0323334662979,10.9075597114,413.0,51.83,6.25,43.0,20.0,15.43404019551387,1.975057400153831,3.116905132699315,28.68976469459655,5.668505558944289,29.236232817339403,5.690610491429427,-12.826000000000004,-2.812,7.024000000000029,2.1260000000000026,Cfb,C
744,isomap_1042700,7.6853794963125175,0.09172921084643168,8.87579786336603,0.8322916254984719,0.0225935019151,7.97577552212,196.0,51.18,8.4889,839.0,20.0,15.515100957310437,2.0300254734985215,2.725087748721874,31.029244754924235,6.244386996510219,29.68105088834421,6.235969871647257,-13.846000000000004,-4.618,12.088000000000026,8.804000000000002,Cfb,C
749,isomap_1046000,7.716231930861737,0.07276391863270978,5.111880971357733,0.658674266572822,0.0332526658015,10.6173195118,199.0,51.3744,11.2919,164.0,20.0,22.538995967741275,2.931402828401453,3.168269248670309,19.92293902676452,6.731998989990702,20.870818338158752,6.728593135692551,-16.565999999999995,-3.6080000000000005,10.34799999999997,6.364000000000006,Cfb,C
750,isomap_1046900,7.781231552844017,0.09434136586468371,6.425829772633498,0.847269963957509,0.0292449225386,14.8400751713,221.0,51.35,12.43,125.0,20.0,19.79560818663157,2.5609302032798005,3.659913011000501,18.99611993598398,6.986623846679871,18.190581348159238,6.818538649364554,-15.522,-4.074,6.295999999999987,4.591999999999997,Cfb,C
