,site,DJF_dex,JJA_dex,DJF_dex_s,JJA_dex_s,DJF_d18O,JJA_d18O,DJF_d18O_s,JJA_d18O_s,koppen,clim
1145,isomap_4500400,12.900545932383176,9.58014437186667,4.326398135580295,3.019236716492285,-2.820826970570094,-7.212051952585185,1.8278621090269844,1.486044628336784,Cwa,C
1146,isomap_4713101,20.063023255813956,7.854042553191492,4.221601996643434,2.695937573914599,-8.00046511627907,-8.997659574468086,2.2903467326498546,1.6675924967372238,Dwa,D
1147,isomap_4713800,18.032000000000004,8.334285714285718,8.565911977133549,6.270476986055617,-6.134000000000001,-8.472142857142858,2.502980623177096,2.2402460916203832,Cfa,C
1148,isomap_4751300,16.6398,8.677234042553188,5.8603284856738185,2.351075536699458,-8.570600000000002,-8.362127659574469,2.6709138211481096,1.9125639315363214,Cfb,C
1149,isomap_4766200,18.990243902439023,6.205217391304344,5.406725932240813,4.184203076754711,-8.202439024390245,-7.023478260869568,2.355040034342335,2.0894655207901587,Cfa,C
1151,isomap_4845500,6.592923479566666,7.8118022291428595,8.016129207007529,3.073480626349414,-2.6634753072333335,-5.678144457253968,2.3026466339775804,1.5675322616531442,Aw,A
1154,isomap_4860000,11.235999999999994,16.405454545454546,2.471579252219109,5.186297266725364,-4.456999999999999,-7.22909090909091,1.9524090247691448,2.109133620257184,Am,A
1155,isomap_4860300,11.854374999999997,14.443809523809524,5.062911673076578,3.5078001194487327,-5.71125,-6.1623809523809525,2.3387493319079753,1.0329426516229987,Am,A
1157,isomap_4861500,5.7273684210526365,8.986400000000005,15.737104944117275,5.701969400128348,-4.375263157894738,-6.747999999999999,2.046610467195,1.4244718319433343,Af,A
1159,isomap_4863200,16.667777777777776,16.162857142857142,5.124767263610404,4.4100055532382125,-9.102222222222222,-9.08142857142857,2.5715096205138064,1.6854243091995598,Af,A
1160,isomap_4864701,9.579428571428567,9.761621621621625,5.417300299098453,7.924594460938889,-6.5614285714285705,-6.92054054054054,2.0094507321399946,1.8764528727073326,Af,A
1164,isomap_4869400,11.57166666666667,13.835714285714287,1.5485145211531768,2.998258337972984,-5.855833333333333,-7.339285714285716,1.9127138587764658,1.210970474370006,Af,A
1167,isomap_5074500,5.776666666666703,4.455714285714294,8.910124702955741,5.04926686939474,-23.765833333333344,-9.51142857142857,5.783353206017733,1.5384447487309905,Dwa,D
1170,isomap_5182801,20.12941176470588,4.527567567567573,13.874130166942859,12.303088033674861,-19.992647058823533,-5.884864864864865,4.441964528835473,2.39847544102456,Dfb,D
1171,isomap_5265200,16.014444444444464,0.18600000000000053,20.191473233967475,12.042463922857868,-17.78166666666667,-3.455333333333333,5.435873894784538,2.6066910484793215,BWk,B
1175,isomap_5369800,15.168124999999998,6.547391304347827,9.534516769403766,6.328735513094772,-10.899958333333336,-7.6817391304347815,3.5194107044499967,2.0722035156344902,Cwa,C
1181,isomap_5452700,16.015555555555565,10.655238095238108,8.784227166551448,5.227072037591193,-11.520000000000001,-7.6676190476190484,2.23090415153438,1.702281115953656,Dwa,D
1182,isomap_5452701,12.95666666666669,5.510476190476195,8.635001769285026,7.058100699729947,-12.638333333333335,-7.00904761904762,4.639250717758441,1.5919138070765637,BSk,B
1184,isomap_5629400,5.212000000000009,4.993846153846158,5.443184362117469,4.693507034619596,-5.404000000000002,-7.516538461538463,3.147631490502027,2.359907009751561,Cwa,C
1185,isomap_5677800,3.8613793103448297,12.62545454545455,12.646819342301578,10.418009200537272,-4.095172413793103,-11.282727272727273,2.803138168368291,3.3701971642056545,Cwb,C
1186,isomap_5703600,12.82444444444446,9.820000000000006,9.042412548173091,5.5394825269754815,-9.471111111111112,-7.045555555555556,3.5593084360883767,2.941218988073223,Cwa,C
1187,isomap_5708300,10.874000000000008,0.8360000000000111,5.576988793246759,8.560601848001118,-7.073,-7.358666666666666,2.956542068024738,2.895414458914109,Cwa,C
1188,isomap_5749400,8.398181818181818,2.1492307692307615,5.528362930761235,6.063888650208726,-5.1827272727272735,-7.971538461538462,1.747554607855794,2.001610298480264,Cfa,C
1190,isomap_5767900,16.93285714285714,9.162857142857145,2.699456105460158,3.406941293828214,-4.633571428571429,-8.032857142857143,1.8845750075769534,1.9991799339137182,Cfa,C
1191,isomap_5771300,12.747368421052633,11.044444444444432,9.374593235866298,5.779006279651093,-3.2605263157894733,-9.69722222222222,1.607405472981425,2.8457508393227546,Cfa,C
1192,isomap_5781600,22.610000000000003,10.624000000000008,1.5544911891493156,3.2789120146780335,-4.259285714285715,-9.498000000000001,1.6749561371046386,3.105251895311124,Cwa,C
1193,isomap_5795700,17.267619047619046,12.026666666666664,3.1525860960440877,3.8605166608744086,-2.8995238095238096,-8.228333333333333,1.4656007258214447,1.5997204616918408,Cfa,C
1194,isomap_5823800,17.92857142857143,10.443333333333351,2.812753752725142,2.0108069137648332,-7.3999999999999995,-9.520000000000003,1.4108103041464195,1.1649940390882307,Cfa,C
1195,isomap_5884700,12.182105263157899,5.9929411764705875,7.3255742213924915,5.573563402038219,-4.124736842105264,-6.324117647058823,2.6400067153444358,2.0535537599446223,Cfa,C
1196,isomap_5904600,8.227692307692307,4.422666666666669,9.156279185384744,4.040520538522508,-3.8092307692307696,-8.128666666666668,3.001974892372996,1.381819412545969,Cfa,C
1197,isomap_5928700,13.027302969581745,8.163362831043745,5.53523114336374,6.566365161757574,-3.200159041956584,-7.71573450129023,1.7014727732053796,2.3148577391597613,Cwa,C
1198,isomap_5975800,9.348571428571423,9.506999999999996,6.0954770786482735,5.418458360087305,-2.461428571428571,-8.631499999999999,0.7514448667434636,2.282573711843716,Cwa,C
1199,isomap_6002000,6.274347826086957,-1.5033333333333303,7.669793277689778,6.217997176654951,-1.469130434782609,-1.2333333333333318,2.3237524245953685,3.083043229595645,Csb,C
