,lat,lon,cam2_m,cam2_b,cam5_m,cam5_b,echam5_m,echam5_b,gissE_m,gissE_b,HadAM3_m,HadAM3_b,isoGSM_m,isoGSM_b,lmdz_m,lmdz_b,miroc_m,miroc_b
1279,0.453055556,33.195,7.793459643732399,10.789519197835538,8.33466097719387,16.70780097570959,7.084545087569552,8.287836374460827,8.24370243130769,16.532145233346426,8.700927493261512,19.9092948275355,8.419172736833918,16.896138589653702,8.556492577631674,15.87079176895596,8.353680904927492,12.475282442133974
1280,0.05,32.45,7.743365061813792,11.005648788532826,8.299057355408202,17.11584998801073,3.984118084305668,1.7935272309996015,8.244615189316649,16.548827878735132,9.202996912119636,24.622418569919247,8.433096102897107,16.988455444874614,9.237884951215156,19.161361290344907,8.345801388893829,12.618583766373371
1288,-6.88,39.2,8.056907326026465,11.998561659310749,7.990706979604302,9.410252255444362,7.4968957833908,5.6345987663034665,8.194965327625036,12.926219272419294,7.617256840554597,9.22709291261822,8.435179304645256,12.011632500603504,7.07948710398,7.377392280442955,8.281952472734275,10.144249740985611
1290,-4.37,15.25,7.859466425606475,10.550573451991028,7.738537700911448,12.0315829298112,7.5564590588163005,9.317629515609788,8.00091359529664,13.013153759423565,8.558182796649513,20.29284620158542,8.717555749363894,17.182841758476265,8.853841026803464,18.46952507168332,8.15443747475335,10.4212869649536
1291,4.377083333,18.56247222,8.016295736701785,11.77319033608732,8.305655885817997,16.630340811109804,7.442822754845067,8.732157787008829,8.614646456404174,19.4177185901243,9.504120404788813,32.61159273774133,8.269845685150475,21.299707724273162,7.176790409850553,14.110180879963401,8.369151207505151,12.065992553873214
1292,4.365694444,18.58725,8.016295736701785,11.77319033608732,8.305655885817997,16.630340811109804,7.442822754845067,8.732157787008829,8.614646456404174,19.4177185901243,9.504120404788813,32.61159273774133,8.269845685150475,21.299707724273162,7.176790409850553,14.110180879963401,8.369151207505151,12.065992553873214
1293,12.13,15.03,8.686674014200216,17.073212772085377,8.225191370881257,17.55789482422433,7.397524351470658,2.9426111347355333,8.671080661999856,17.405295795944138,7.276261242937442,8.628560731265548,8.412178128438804,15.638296543199717,6.84320831666957,10.329995224199324,8.251373773488565,10.593600840149948
1295,4.0366666669999995,9.734166667,8.182437156741617,13.127369166556779,8.326983083847399,16.685554099492865,7.50881792299801,10.887340258963457,8.667163266649014,17.33818457187578,9.824514790842496,34.54496010318965,8.07973674581958,15.710801308930495,8.23709190711116,17.82923737661448,8.373887435465395,12.122407564910297
1297,6.417169444,2.329255556,8.153005000355694,12.374516275005478,8.239314318362549,12.109562060280943,7.7246543279241955,8.143082889293234,8.695835296666056,16.091675930213377,8.953027417545016,22.68440842758492,8.284585008507397,13.109527793387924,7.522477005669234,11.931260018850034,8.409047420959158,10.960214766093268
1303,-9.55,16.37,8.121563947626631,12.08410239778566,7.705742295420358,10.834212713758818,7.210379730456509,7.343468676879074,7.990773583868263,11.612827540139008,7.660857541633796,13.411592582466719,8.3077013439571,14.238910967126511,9.273489746756582,15.805253003705538,8.237373292539365,11.389816484265678
1306,-18.9,47.53,8.200772919526388,11.868528767060546,7.824226298424452,10.168524405448718,8.744824141656906,16.020177006037805,8.359648990269232,15.082969413743847,7.660305105447897,8.208953801727066,8.196922633484965,11.855519067902279,8.168129255526608,11.544960554597242,8.503712161545845,12.221384759055343
1309,-13.0,28.65,8.478513400231678,15.067604931752848,7.528931781801019,9.478162387564861,8.110389843136858,11.090665901040136,8.231873330426472,14.488366605971034,7.386872893752359,10.357837801047713,8.214881081465398,15.146061252002818,7.960084032194451,10.915969521609552,8.501379381831926,14.213514516847955
