,site,m,mse,b,bse,inv_condnum,res_var,n,lat,lon,elev,proj,koppen,clim
823,isomap_1160301,7.699756919820984,0.12455628559694365,8.861489946316013,1.2854445008502542,0.023924153257,12.4290875142,91.0,50.8325,15.14777778,823.0,20.0,Cfb,C
836,isomap_1175,8.21544518313315,0.15914889791429165,19.55798213056771,1.0124166524457754,0.0529085052086,8.11101815779,54.0,-34.07893,149.9133,97.0,27.0,Cfb,C
852,isomap_1187800,7.944611812350977,0.04456837649352539,7.813017172510084,0.5024186181314604,0.0305143952239,9.53623376693,254.0,49.0975,19.59,570.0,20.0,Dfb,D
863,isomap_1195,6.788387127790379,0.33715759536656026,-0.5503876333840743,4.145884356761402,0.00965252873706,23.8148104155,61.0,36.5213,138.3497,1322.0,84.0,Dfb,D
864,isomap_1196,6.878257427493024,0.2080321559933139,0.586685137293261,2.575176979484968,0.0122563648433,14.6590495183,61.0,35.9452,138.4697,1350.0,84.0,Dfb,D
865,isomap_1197,7.212103179470238,0.2135181439533787,4.631153408891123,2.2373853119392635,0.022057764227,24.2456345702,61.0,35.6828,138.5664,304.0,84.0,Dfb,D
867,isomap_1198,7.048774646354415,0.22134748978665872,2.7547437992696735,2.363028172746429,0.019643078809,23.0063699113,61.0,35.7475,138.4166,526.0,84.0,Dfb,D
868,isomap_1199,7.325122109485106,0.3695185406720495,7.770535766211253,3.401993899836918,0.0196811970153,29.0536696597,51.0,35.2231,138.2231,755.0,84.0,Dfb,D
869,isomap_1200,7.367176290496887,0.48709308780339033,3.9926625588518263,5.545747116178387,0.0165335391682,76.9667264534,49.0,36.2511,137.9778,620.0,84.0,Dfb,D
870,isomap_1201,6.813362564762767,0.2405022179478593,-2.0492134937055306,2.771584928235913,0.0171715734142,29.2551601361,61.0,36.5053,137.8703,776.0,84.0,Dfb,D
871,isomap_1202,7.591672307031096,0.2680464229047502,5.302828115215496,3.196330712754601,0.0104288655969,13.4077052253,61.0,36.2533,137.6686,1529.0,84.0,Dfb,D
872,isomap_1203,6.386199016370872,0.28467358470084186,-5.769397943810577,3.504060412858001,0.0101153816734,20.2052123693,61.0,36.7108,138.4947,1594.0,84.0,Dfb,D
873,isomap_1204,6.407356308814784,0.18759418344144513,-5.965105690721419,1.9970170611062767,0.0173065975961,14.4225022291,61.0,36.6317,138.1891,354.0,84.0,Dfb,D
874,isomap_1205,7.147150845874824,0.21391768040114256,1.9755859718296043,2.583218876812481,0.0119416730944,12.7224965938,61.0,36.5317,138.325,1249.0,84.0,Dfb,D
875,isomap_1206,7.002551674812432,0.22190160271231904,1.0913585133289092,2.391910437676981,0.0160186458536,16.2253937818,61.0,36.0455,138.1087,760.0,84.0,Dfb,D
877,isomap_1208,7.997072054114716,0.3061997531388959,10.989720003884127,3.621595442486099,0.00918628018728,12.2538433858,61.0,36.1226,137.6298,1446.0,84.0,Dfb,D
880,isomap_1256500,7.860502312359347,0.037202971979472976,7.055091725486617,0.3831670246844954,0.0287568219263,7.80081616781,465.0,50.06166667,19.84861111,205.0,20.0,Cfb,C
881,isomap_1312701,8.040120217308637,0.09044902920024245,8.479783455675625,0.8389987262039548,0.0311767842841,13.7117076132,182.0,45.80666667,15.97,165.0,20.0,Cfb,C
882,isomap_1312702,7.573239740537118,0.17892170369167204,2.753261652745499,1.6021751259201322,0.0394460873457,39.2257814566,89.0,45.81666667,15.98333333,157.0,20.0,Cfb,C
887,isomap_1351,7.4199566451071295,0.11867077914567131,-11.871863883031496,2.3278147866101975,0.0145985308009,89.0197310017,150.0,50.01,-114.01,1049.0,42.0,Dfc,D
888,isomap_1401500,8.106451698827927,0.07806281580948847,10.29173598634629,0.715946417047222,0.031950182417,16.1497438764,290.0,46.095,14.597,282.0,20.0,Cfb,C
889,isomap_1410501,8.154002614954722,0.23315915609252993,10.021195841023635,1.619204414037726,0.0459009884443,25.5667949557,74.0,45.46666667,13.61666667,2.0,20.0,Cfa,C
905,isomap_1612000,7.65223344429877,0.11802970891244756,7.341205443430828,0.6413717087283607,0.0650486699922,23.9933269196,319.0,44.42,8.85,2.0,20.0,Csb,C
907,isomap_1613401,6.939121450141305,0.23929294463731868,6.365958490272383,1.9866227238816991,0.0291031631058,19.3288432474,52.0,44.09,11.08,842.0,20.0,Cfb,C
